Comment,Designator,Footprint,LCSC
"SW_Push","BOOT1","Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical",""
"10uF","C1","Capacitor_SMD:C_0805_2012Metric","C91245"
"22pF","C7,C8","Capacitor_SMD:C_0805_2012Metric","C1804"
"D_Zener_Small","D1,D2","Diode_SMD:D_SOD-123","C173412"
"Polyfuse_Small","F1","Fuse:Fuse_1206_3216Metric","C69688"
"Conn_01x06","J1","Connector_PinHeader_2.00mm:PinHeader_1x06_P2.00mm_Vertical",""
"MX-LED","MX1","MX_Only:MXOnly-ISO-ReversedStabilizers",""
"5.1k","R1,R2","Resistor_SMD:R_0805_2012Metric","C27834"
"1.5K","R3","Resistor_SMD:R_0805_2012Metric","C4310"
"68R","R4,R5","Resistor_SMD:R_0805_2012Metric","C17802"
"1k","R7","Resistor_SMD:R_0805_2012Metric","C17513"
"ATmega328P-AU","U1","Package_QFP:TQFP-32_7x7mm_P0.8mm","C14877"
"SRV05-4","U2","Package_TO_SOT_SMD:SOT-23-6","C85364"
"USB_C_Receptacle_USB2.0","USB1","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","C165948"
"Crystal_GND24_Small","X1","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","C13738"